I, [2016-03-01T10:56:33.467354 #8503]  INFO -- : Testing ----> [App_Name] https://209.123.98.171:443/drupal
I, [2016-03-01T10:56:33.744100 #8503]  INFO -- : Testing ----> [App_Name] http://209.123.98.171:80/drupal
I, [2016-03-01T10:56:34.867078 #8503]  INFO -- : Testing ----> [Zabbix] https://209.123.98.171:443/zabbix/
I, [2016-03-01T10:56:34.982348 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/zabbix/} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:34.982402 #8503]  INFO -- : Testing ----> [Zabbix] https://209.123.98.171:443/zabbix/scripts.php
I, [2016-03-01T10:56:35.189214 #8503]  INFO -- : Testing ----> [Zabbix] http://209.123.98.171:80/zabbix/
I, [2016-03-01T10:56:35.226366 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/zabbix/} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:35.226425 #8503]  INFO -- : Testing ----> [Zabbix] http://209.123.98.171:80/zabbix/scripts.php
I, [2016-03-01T10:56:35.363358 #8503]  INFO -- : Testing ----> [Symantec Endpoint Protection Manager] https://209.123.98.171:443/servlet/ConsoleServlet
I, [2016-03-01T10:56:35.625748 #8503]  INFO -- : Testing ----> [Symantec Endpoint Protection Manager] http://209.123.98.171:80/servlet/ConsoleServlet
I, [2016-03-01T10:56:35.737361 #8503]  INFO -- : Testing ----> [Panasonic Network Camera WV-SF335] https://209.123.98.171:443/live/index.html?Language=0
I, [2016-03-01T10:56:35.913733 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/live/index.html?Language=0} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:35.913795 #8503]  INFO -- : Testing ----> [Panasonic Network Camera WV-SF335] https://209.123.98.171:443/admin/index.html?Language=0
I, [2016-03-01T10:56:36.085710 #8503]  INFO -- : Testing ----> [Panasonic Network Camera WV-SF335] http://209.123.98.171:80/live/index.html?Language=0
I, [2016-03-01T10:56:36.207579 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/live/index.html?Language=0} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:36.207654 #8503]  INFO -- : Testing ----> [Panasonic Network Camera WV-SF335] http://209.123.98.171:80/admin/index.html?Language=0
I, [2016-03-01T10:56:36.331368 #8503]  INFO -- : Testing ----> [AXIS Q7404 Video Encoder] https://209.123.98.171:443/view/viewer_index.shtml
I, [2016-03-01T10:56:36.450312 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/view/viewer_index.shtml} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:36.450387 #8503]  INFO -- : Testing ----> [AXIS Q7404 Video Encoder] https://209.123.98.171:443/operator/action_rules.shtml
I, [2016-03-01T10:56:36.740365 #8503]  INFO -- : Testing ----> [AXIS Q7404 Video Encoder] http://209.123.98.171:80/view/viewer_index.shtml
I, [2016-03-01T10:56:36.844131 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/view/viewer_index.shtml} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:36.844183 #8503]  INFO -- : Testing ----> [AXIS Q7404 Video Encoder] http://209.123.98.171:80/operator/action_rules.shtml
I, [2016-03-01T10:56:36.977781 #8503]  INFO -- : Testing ----> [Vivotek Mega-Pixel Network Camera] https://209.123.98.171:443/setup/system/system.html
I, [2016-03-01T10:56:37.148592 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/setup/system/system.html} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:37.148645 #8503]  INFO -- : Testing ----> [Vivotek Mega-Pixel Network Camera] https://209.123.98.171:443/media/media_settings.html
I, [2016-03-01T10:56:37.340976 #8503]  INFO -- : Testing ----> [Vivotek Mega-Pixel Network Camera] http://209.123.98.171:80/setup/system/system.html
I, [2016-03-01T10:56:37.466602 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/setup/system/system.html} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:37.466670 #8503]  INFO -- : Testing ----> [Vivotek Mega-Pixel Network Camera] http://209.123.98.171:80/media/media_settings.html
I, [2016-03-01T10:56:37.605670 #8503]  INFO -- : Testing ----> [SVSi N-Command N8002] https://209.123.98.171:443/userAdmin.php
I, [2016-03-01T10:56:37.794057 #8503]  INFO -- : Testing ----> [SVSi N-Command N8002] http://209.123.98.171:80/userAdmin.php
I, [2016-03-01T10:56:37.916501 #8503]  INFO -- : Testing ----> [SVSi N-Series 2000 Decoder] https://209.123.98.171:443/localplay.php
I, [2016-03-01T10:56:38.091708 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/localplay.php} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:38.091773 #8503]  INFO -- : Testing ----> [SVSi N-Series 2000 Decoder] https://209.123.98.171:443/edid.php
I, [2016-03-01T10:56:38.271731 #8503]  INFO -- : Testing ----> [SVSi N-Series 2000 Decoder] http://209.123.98.171:80/localplay.php
I, [2016-03-01T10:56:38.394048 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/localplay.php} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:38.394139 #8503]  INFO -- : Testing ----> [SVSi N-Series 2000 Decoder] http://209.123.98.171:80/edid.php
I, [2016-03-01T10:56:38.523127 #8503]  INFO -- : Testing ----> [AlienVault USM] https://209.123.98.171:443/ossim/session/login.php
I, [2016-03-01T10:56:38.693059 #8503]  INFO -- : <<<Primary path {https://209.123.98.171:443/ossim/session/login.php} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:38.693134 #8503]  INFO -- : Testing ----> [AlienVault USM] https://209.123.98.171:443/ossim/#configuration/administration/users
I, [2016-03-01T10:56:38.916419 #8503]  INFO -- : Testing ----> [AlienVault USM] http://209.123.98.171:80/ossim/session/login.php
I, [2016-03-01T10:56:39.034540 #8503]  INFO -- : <<<Primary path {http://209.123.98.171:80/ossim/session/login.php} was not found, looking for secondary path>>>
I, [2016-03-01T10:56:39.034623 #8503]  INFO -- : Testing ----> [AlienVault USM] http://209.123.98.171:80/ossim/#configuration/administration/users
I, [2016-03-01T10:56:39.114135 #8503]  INFO -- : Testing ----> [Arecont Vision Mega Pixel Panoramic Camera] https://209.123.98.171:443/livevideo.html
I, [2016-03-01T10:56:39.288603 #8503]  INFO -- : Testing ----> [Arecont Vision Mega Pixel Panoramic Camera] http://209.123.98.171:80/livevideo.html
I, [2016-03-01T10:56:39.417543 #8503]  INFO -- : --------------------------------------------------------
I, [2016-03-01T10:56:39.417605 #8503]  INFO -- : <<<Yasuo discovered following vulnerable applications>>>
I, [2016-03-01T10:56:39.417627 #8503]  INFO -- : --------------------------------------------------------
I, [2016-03-01T10:56:39.417667 #8503]  INFO -- : [["App Name", "URL to Application", "Potential Exploit", "Username", "Password"]]
